
Geography,Category,Data Type,Unit,Current Constant,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Ireland,Soup,Retail Volume,000 tonnes,-,13.0,13.1,13.2,13.7,14.1,13.9,13.6,13.4,13.3,13.2,13.1
Ireland,Soup,Retail Value RSP,EUR million,Current Prices,84.6,85.7,88.3,92.1,93.4,100.6,105.2,108.4,111.3,114.2,117.3
Ireland,Dry Soup,Retail Volume,000 tonnes,-,2.5,2.5,2.5,2.5,2.6,2.5,2.5,2.5,2.5,2.4,2.4
Ireland,Dry Soup,Retail Value RSP,EUR million,Current Prices,27.9,27.8,28.0,28.9,29.8,32.4,34.1,35.0,35.8,36.5,37.3
Ireland,Shelf Stable Soup,Retail Volume,000 tonnes,-,4.7,4.7,4.6,4.6,4.7,4.6,4.4,4.3,4.2,4.2,4.1
Ireland,Shelf Stable Soup,Retail Value RSP,EUR million,Current Prices,18.3,17.8,17.7,18.1,18.6,20.0,20.6,21.1,21.5,21.9,22.4
Ireland,Chilled Soup,Retail Volume,000 tonnes,-,5.8,6.0,6.2,6.6,6.9,6.8,6.7,6.7,6.6,6.6,6.6
Ireland,Chilled Soup,Retail Value RSP,EUR million,Current Prices,38.5,40.1,42.5,45.1,45.1,48.3,50.5,52.3,54.0,55.8,57.6
Ireland,Frozen Soup,Retail Volume,000 tonnes,-,-,-,-,-,-,-,-,-,-,-,-
Ireland,Frozen Soup,Retail Value RSP,EUR million,Current Prices,-,-,-,-,-,-,-,-,-,-,-
